ID,length,width ,thickness,mass,material (density),safety factor ,displacement ,Normalised Length,Normalised Width ,Normalised Thickness,Normalised Mass ,Normalised Safety Factor,,
1,965.000,395.000,17.220,76.95,2700,35.40,0.02,1.486301083,-0.499541885,0.165144565,0.459247326,0.051004559,,
2,405.000,273.540,5.860,10.64,2700,4.69,0.26,-1.156011953,-1.485443502,-1.156011953,-1.287093436,-1.056739427,,
3,335.000,476.940,14.380,32.07,2700,31.80,0.02,-1.486301083,0.165572379,-0.165144565,-0.722712761,-0.07885146,,
4,615.000,598.980,25.740,101.80,2700,65.90,0.01,-0.165144565,1.156181908,1.156011953,1.113697152,1.15117361,,
5,545.000,639.660,28.580,107.05,2700,86.40,0.01,-0.495433694,1.486385084,1.486301083,1.2519612,1.890631496,,
6,825.000,517.620,22.900,104.63,2700,47.90,0.02,0.825722824,0.495775555,0.825722824,1.188228058,0.501893514,,
7,475.000,354.900,3.020,7.42,2700,1.34,2.81,-0.825722824,-0.825037149,-1.486301083,-1.371895385,-1.177577667,,
8,755.000,558.300,8.700,40.98,2700,6.33,0.34,0.495433694,0.825978732,-0.825722824,-0.48805892,-0.997582796,,
9,895.000,314.220,11.540,43.1,2700,19.30,0.04,1.156011953,-1.155240326,-0.495433694,-0.432226581,-0.529740416,,
10,685.000,436.260,20.060,70.48,2700,40.80,0.02,0.165144565,-0.164630797,0.495433694,0.288853348,0.245788587,,
11,965.000,395.000,17.220,188.09,6600,135.00,0.02,1.486301083,-0.499541885,0.165144565,0.459135413,0.043684687,,
12,405.000,273.540,5.860,26,6600,16.70,0.22,-1.156011953,-1.485443502,-1.156011953,-1.287145626,-1.06293169,,
13,335.000,476.940,14.380,78.39,6600,124.00,0.02,-1.486301083,0.165572379,-0.165144565,-0.722720531,-0.059212863,,
14,615.000,598.980,25.740,248.85,6600,258.00,0.01,-0.165144565,1.156181908,1.156011953,1.113734931,1.194266381,,
15,545.000,639.660,28.580,261.68,6600,329.00,0.01,-0.495433694,1.486385084,1.486301083,1.251959286,1.858423294,,
16,825.000,517.620,22.900,255.77,6600,184.00,0.01,0.825722824,0.495775555,0.825722824,1.18828774,0.5020465,,
17,475.000,354.900,3.020,18.14,6600,5.20,2.33,-0.825722824,-0.825037149,-1.486301083,-1.371825551,-1.170506401,,
18,755.000,558.300,8.700,100.17,6600,24.40,0.28,0.495433694,0.825978732,-0.825722824,-0.488073107,-0.990903405,,
19,895.000,314.220,11.540,105.36,6600,70.00,0.04,1.156011953,-1.155240326,-0.495433694,-0.4321585,-0.564346289,,
20,685.000,436.260,20.060,172.28,6600,157.00,0.01,0.165144565,-0.164630797,0.495433694,0.288805946,0.249479787,,
21,965.000,395.000,17.220,50.49,1771,132.00,0.03,1.486301083,-0.499541885,0.165144565,0.459313861,0.093267022,,
22,405.000,273.540,5.860,6.98,1771,16.90,0.40,-1.156011953,-1.485443502,-1.156011953,-1.287146516,-1.061037738,,
23,335.000,476.940,14.380,21.04,1771,115.00,0.03,-1.486301083,0.165572379,-0.165144565,-0.722788141,-0.077221083,,
24,615.000,598.980,25.740,66.79,1771,227.00,1.68,-0.165144565,1.156181908,1.156011953,1.113584239,1.045994669,,
25,545.000,639.660,28.580,70.24,1771,316.00,0.01,-0.495433694,1.486385084,1.486301083,1.252064779,1.938550044,,
26,825.000,517.620,22.900,68.65,1771,175.00,0.02,0.825722824,0.495775555,0.825722824,1.188243312,0.524501642,,
27,475.000,354.900,3.020,4.87,1771,4.80,4.25,-0.825722824,-0.825037149,-1.486301083,-1.371840411,-1.182385154,,
28,755.000,558.300,8.700,26.89,1771,23.10,0.51,0.495433694,0.825978732,-0.825722824,-0.487973312,-0.998859723,,
29,895.000,314.220,11.540,28.28,1771,70.20,0.02,1.156011953,-1.155240326,-0.495433694,-0.432179703,-0.526507384,,
30,685.000,436.260,20.060,46.24,1771,147.00,0.03,0.165144565,-0.164630797,0.495433694,0.288721891,0.243697703,,
31,965.000,395.000,17.220,128.53,4510,324.00,0.01,1.486301083,-0.499541885,0.165144565,0.456693707,-0.052567722,,
32,405.000,273.540,5.860,17.77,4510,41.80,0.17,-1.156011953,-1.485443502,-1.156011953,-1.292204921,-1.140149182,,
33,335.000,476.940,14.380,53.57,4510,285.00,0.01,-1.486301083,0.165572379,-0.165144565,-0.726923493,-0.202871326,,
34,615.000,598.980,25.740,170.05,4510,609.00,0.01,-0.165144565,1.156181908,1.156011953,1.112293843,1.045804767,,
35,545.000,639.660,28.580,178.81,4510,828.00,0.00,-0.495433694,1.486385084,1.486301083,1.250614103,1.88981731,,
36,825.000,517.620,22.900,174.77,4510,443.00,0.01,0.825722824,0.495775555,0.825722824,1.186822567,0.406050966,,
37,475.000,354.900,3.020,12.4,4510,11.80,1.79,-0.825722824,-0.825037149,-1.486301083,-1.376997135,-1.255767339,,
38,755.000,558.300,8.700,68.45,4510,57.80,0.22,0.495433694,0.825978732,-0.825722824,-0.491968531,-1.078486166,,
39,895.000,314.220,11.540,74,4510,407.00,0.01,1.156011953,-1.155240326,-0.495433694,-0.40433412,0.267309178,,
40,685.000,436.260,20.060,117.72,4510,369.00,0.01,0.165144565,-0.164630797,0.495433694,0.28600398,0.120859513,,
,,,,,,,,,,,,,,
